dish_id,title,url,exists,status,error
10131383,Gỏi Bạc Hà Tôm Đất,https://concop19.github.io/daily-mate-assets/food_anime/dish_10131383.jpg,False,404,
10153316,Mướp Khía Xào Nấm Bào Ngư Chay,https://concop19.github.io/daily-mate-assets/food_anime/dish_10153316.jpg,False,404,
10581838,Lẩu gà tiềm nấu nấm,https://concop19.github.io/daily-mate-assets/food_anime/dish_10581838.jpg,False,404,
10668025,Mực ống xào,https://concop19.github.io/daily-mate-assets/food_anime/dish_10668025.jpg,False,404,
10668060,Bún đậu mắm tôm,https://concop19.github.io/daily-mate-assets/food_anime/dish_10668060.jpg,False,404,
10668095,Cá chuồn kho mít non,https://concop19.github.io/daily-mate-assets/food_anime/dish_10668095.jpg,False,404,
10670111,Canh cá bã trầu,https://concop19.github.io/daily-mate-assets/food_anime/dish_10670111.jpg,False,404,
10733295,Gỏi đu đủ xanh tai heo,https://concop19.github.io/daily-mate-assets/food_anime/dish_10733295.jpg,False,404,
10749119,Cá chuồn nấu khổ qua,https://concop19.github.io/daily-mate-assets/food_anime/dish_10749119.jpg,False,404,
10749260,Cá hanh hấp,https://concop19.github.io/daily-mate-assets/food_anime/dish_10749260.jpg,False,404,
10904151,Canh rau lang nấu nghêu,https://concop19.github.io/daily-mate-assets/food_anime/dish_10904151.jpg,False,404,
10904161,Rau diếp cá trộn bò,https://concop19.github.io/daily-mate-assets/food_anime/dish_10904161.jpg,False,404,
10905259,Canh chua thịt bò,https://concop19.github.io/daily-mate-assets/food_anime/dish_10905259.jpg,False,404,
10929046,Đậu khuôn sốt nấm tươi,https://concop19.github.io/daily-mate-assets/food_anime/dish_10929046.jpg,False,404,
10940465,Cá chai khô rim mắm đường,https://concop19.github.io/daily-mate-assets/food_anime/dish_10940465.jpg,False,404,
10940604,Mì vàng xào bò,https://concop19.github.io/daily-mate-assets/food_anime/dish_10940604.jpg,False,404,
10976532,Canh chua chả cá rựa,https://concop19.github.io/daily-mate-assets/food_anime/dish_10976532.jpg,False,404,
10977122,Ốp la bò kho,https://concop19.github.io/daily-mate-assets/food_anime/dish_10977122.jpg,False,404,
11009128,"Xà lách carol trộn nấm, đậu khuôn",https://concop19.github.io/daily-mate-assets/food_anime/dish_11009128.jpg,False,404,
11009144,Canh chua nấu nấm,https://concop19.github.io/daily-mate-assets/food_anime/dish_11009144.jpg,False,404,
11068397,Cá bớp Lã Vọng,https://concop19.github.io/daily-mate-assets/food_anime/dish_11068397.jpg,False,404,
11095480,Chả cá thu hấp,https://concop19.github.io/daily-mate-assets/food_anime/dish_11095480.jpg,False,404,
11127540,Rong biển Hàn Quốc nấu tôm,https://concop19.github.io/daily-mate-assets/food_anime/dish_11127540.jpg,False,404,
11151649,Rau dớn nộm,https://concop19.github.io/daily-mate-assets/food_anime/dish_11151649.jpg,False,404,
11228131,Cá thu nướng lá chuối,https://concop19.github.io/daily-mate-assets/food_anime/dish_11228131.jpg,False,404,
11314511,Thịt ba chỉ rang tôm,https://concop19.github.io/daily-mate-assets/food_anime/dish_11314511.jpg,False,404,
